year,stabbr,vname,value,pch
2016,US,agi,10200123989,0.5002972662650365
2016,US,busprofinc,337945333,0.12245742625884759
2016,US,iradist,255046348,1.867993382244066
2016,US,netcgll,618949579,-10.879495087727562
2016,US,odividends,251621537,-1.6139449091818818
2016,US,txblinterest,95757087,1.730643228131342
2016,US,txblpension,695119723,1.6978799342693804
2016,US,txblsocsec,285022263,3.1232645438865347
2016,US,wages,7187733797,1.6560109620613161
2016,US,retinc,1235188334,2.0585859873938404
