stname,retinc,wages,rmw
California,53.163321366931115,35.16806162984406,17.995259737087054
New Hampshire,55.67266262272585,26.48695550147677,29.18570712124908
New York,50.19998059610731,23.690885333519333,26.509095262587977
Ohio,43.090252597562966,21.548285924137602,21.541966673425364
Tennessee,49.58445515327762,27.96436690284807,21.620088250429546
Texas,54.906512143511065,31.72353742572605,23.182974717785015
United States,50.328095871830755,25.859694141060714,24.46840173077004
