stname,gdp,agmin,constr,educ,firel,govt,healthss,info,manuf,other,priv,probus,trade,transp,util
California,2602672,1.557092096122754,3.8742876551482475,0.9781486103512084,21.706231134772263,12.218058979387338,6.321311329280063,8.36175284476876,11.103051018338077,6.512115241567128,87.78197944266508,12.94423577000867,10.897685148186172,2.4330380470531825,1.093030547068551
New Hampshire,77855,0.3134031211868216,3.3421103333119264,2.0371202877143406,23.88285916126132,11.380129728341148,9.023184124333698,3.8353349174747926,10.898465095369597,6.777984715175648,88.6211547106801,12.378138847858198,13.46734313788453,1.4372872647871042,1.224070387258365
New York,1487998,0.19737929755281927,3.2709721384034123,1.9436182037879082,32.0538737283249,11.187313423808366,7.049740658253572,7.675144724656888,4.794630100309274,6.169027108907405,88.81268657619164,13.010366949417943,9.418829864018633,1.9670053319964138,1.2621656749538641
Ohio,625715,2.08976930391632,3.717187537457149,0.8262547645493554,19.672214986055952,11.058069568413735,8.528323597804112,2.726321088674556,16.940460113630007,5.64570131769256,88.94193043158627,11.814963681548308,12.145785221706367,3.0221426687869077,1.8128061497646693
Tennessee,328770,0.6585150713264593,3.7816710770447424,0.9508166803540469,16.47017671928704,11.351096511238861,9.634394865711592,2.807433768287861,16.16662104206588,7.443805700033458,88.64890348876115,11.615719195790371,13.880828542750251,4.672871612373392,0.5663533777412781
Texas,1616801,7.7758487284458635,5.637181075469399,0.6254944176803453,14.706819206569023,10.678741539620521,5.940063124651704,3.3813685172139305,13.964612837325063,5.794652526810659,89.32119660984871,11.61973551476032,14.238548838106855,3.440806877284217,2.1960030950005596
United States,18456292,2.300023211596349,4.247949696504585,1.1233079754048105,20.683358282367877,12.346754158419253,7.4158828869850995,4.800303332868813,11.785834337688199,6.338082427391158,87.65324584158076,12.508503874992874,11.839051961249854,3.0498813087699306,1.561071963967627
