stabbr,stname,osr,nontax,tottax,iit,gst,selsalestax,proptax,othertax,osr_s,nontax_s,tottax_s,iit_s,gst_s,selsalestax_s,proptax_s,othertax_s
CA,California,188571643,33340391,155231252,80753345,39189007,14176746,2513157,18598997,100,17.680490273927347,82.31950972607265,42.82369486487425,20.782025534984598,7.5179628148013755,1.3327332572480157,9.863093254164413
NH,New Hampshire,4387611,1745665,2641946,87973,0,982832,406394,1164747,100,39.78622990962508,60.21377009037492,2.0050318954893678,0,22.400162639759998,9.262306982091165,26.546268573034393
NY,New York,107576041,26222078,81353963,46508632,13534170,11255847,0,10055314,100,24.3753885681664,75.6246114318336,43.23326232092888,12.581026290045383,10.463154151582879,0,9.34716866927646
OH,Ohio,43208882,14513999,28694883,8169197,12226504,6004663,0,2294519,100,33.59031367671119,66.40968632328881,18.906291072284628,28.296274826087842,13.89682565728037,0,5.310294767635969
TN,Tennessee,17745636,4359467,13386169,323952,7006376,2697871,0,3357970,100,24.566417343396427,75.43358265660358,1.8255305135301998,39.48224791717806,15.203011038883025,0,18.92279318701229
TX,Texas,79044196,26911379,52132817,0,32131385,14239389,0,5762043,100,34.045989916830834,65.95401008316917,0,40.64989793811048,18.01446497096384,0,7.289647174094857
US,United States,1272154019,349298180,922855839,343620739,291472708,149651791,15945411,122165190,100,27.457224108333378,72.54277589166662,27.010938445182088,22.911746820492496,11.763653517176838,1.2534182781212437,9.603018830693959
