stabbr,popgroup,wtdn,rincome,txblsales,share2010,share2020,share2030,share2040,totpop,txc2010,txc2020,txc2030,txc2040
AZ,15to19,953174.88,2619.810915898308,3167.861665350645,0.07221226101244725,0.06730823361664921,0.0653163694796039,0.06623069677659299,629135963.87,143920170091.85864,134146366487.83174,130176549985.97726,131998818645.86063
AZ,20to24,859256.52,15573.991774433587,7821.917455974915,0.06924011622622406,0.06885048627295605,0.06699176459994266,0.06626361559671727,629135963.87,340734044734.09375,338816656416.9973,329669794912.4393,326086537567.413
AZ,25to29,887895.34,29221.779184707975,12930.665334571935,0.06883554909193765,0.07236465341276789,0.06880895772085026,0.06788225421806031,629135963.87,559987283068.1112,588697064080.3344,559770958366.0537,552232089517.2858
AZ,30to34,874984.57,33675.65744655415,13366.014834458256,0.06518990797427479,0.06502525212994757,0.06596180197114249,0.06524757115816654,629135963.87,548184584559.4187,546799986875.16644,554675472538.0273,548669476615.38763
AZ,35to39,891797.66,43842.23791387342,16246.600317865401,0.06503314994312437,0.06151994787157775,0.06597674825370656,0.0637774032735987,629135963.87,664724671983.3164,628815107451.0385,674369492786.773,651889282743.7576
AZ,40to44,856578.12,45088.09515623585,16188.635767695941,0.06364203975052006,0.056894910481039535,0.057894370771162364,0.05970411119104136,629135963.87,648184817407.6388,579466297845.603,589645653947.3087,608077594033.0271
AZ,45to49,838256.04,42953.63631156004,15427.767198065894,0.06680551694402564,0.05602484188040534,0.054065851990039916,0.05894614825969593,629135963.87,648425249218.3499,543786257790.0349,524771982233.41077,572140934225.2429
AZ,50to54,962616.74,47370.942039392525,17533.984810384904,0.06500671071431756,0.055968322483476066,0.05104260853945295,0.05280234536757205,629135963.87,717105955857.9602,617401141378.4698,563064308037.7605,582476423284.331
AZ,55to59,861012.15,43320.43931369239,16741.925673956408,0.058708855123507965,0.06032226709658313,0.05160683306333779,0.0506298980767541,629135963.87,618377291497.1881,635371275179.5554,543572065667.4173,533282060697.9529
AZ,60to64,747113.54,41699.99349774638,17075.200464653906,0.05490598663927208,0.061508786263567095,0.05402347280983338,0.050087632255423564,629135963.87,589834298579.889,660765683724.5826,580353785480.3993,538072535386.7689
AZ,65to69,662427.12,36050.971776702965,15683.76425319794,0.04425301121696015,0.056427286120281896,0.058036349320902125,0.05073066864258389,629135963.87,436654203559.7768,556780454082.3712,572657434902.9418,500570675373.4457
AZ,70to74,479127.58,34940.03071577764,16026.75872770683,0.03363977286042887,0.04717915613728404,0.052905948482076214,0.04747782256344811,629135963.87,339190176236.9166,475707917271.30475,533451223469.04816,478719373922.5418
AZ,75to79,379869.6,33663.842689741556,16118.797122820983,0.025384945002492953,0.03194620808177895,0.04077580375185716,0.042850352620247716,629135963.87,257426568643.48383,323963779588.865,413503958448.19977,434541782111.81445
AZ,80to84,267371.13,27131.667176574596,13300.324532171433,0.018504018371665782,0.01932089832764385,0.027124472925099834,0.03107825250024194,629135963.87,154836305723.92703,161671722337.93365,226969790997.51385,260053881748.26306
AZ,85+,211949.99,36357.87681433455,18183.43510563282,0.016176427565821556,0.01687819014912398,0.01916789103744918,0.02502296671259926,629135963.87,185055952959.54306,193084013733.52798,219277855245.02444,286259060106.6251
CA,00to04,4777765.59,0,NaN,0.06794803214992792,0.06599602203528458,0.0658039246547477,0.06463870152759599,629135963.87,NaN,NaN,NaN,NaN
CA,05to09,5247505.34,0,NaN,0.06726370214212955,0.0684069610624643,0.06763006818096878,0.06765341808254907,629135963.87,NaN,NaN,NaN,NaN
CA,10to14,5170460.95,0,NaN,0.06954778171746377,0.06493203645869594,0.06419737589940051,0.06492760690904932,629135963.87,NaN,NaN,NaN,NaN
CA,15to19,5180829.47,2817.562415492626,3101.1553973573955,0.07580241947996073,0.06500802893339525,0.06729827094793348,0.06748721648779361,629135963.87,147894188486.5361,126833810189.33578,131302183184.57303,131670825075.91995
CA,20to24,5991816.82,16492.437250000396,8333.031784544799,0.07424577942809617,0.07168565018597073,0.06812795413827345,0.06832217477930988,629135963.87,389241664479.47363,375819905355.0704,357168292536.33966,358186515608.08344
CA,25to29,5470964.44,30892.68764498331,13703.998538287151,0.07366758579947859,0.08081978372846589,0.07055356965768429,0.0740856306000539,629135963.87,635138228056.1453,696802177947.0615,608290182569.4767,638742475853.9246
CA,30to34,5399708.33,40034.730552997775,15914.90210928266,0.06907905297359561,0.07216857566010251,0.07092934823445084,0.06837497333494769,629135963.87,691663500961.39,722597770984.8341,710189836266.3135,684613806924.4872
CA,35to39,5315777.03,49283.741806108956,18254.23937658098,0.06908203252293528,0.06653618258206215,0.07430473743854343,0.06579545487765079,629135963.87,793365589640.1401,764128034436.3966,853345214060.0249,755621222310.1321
CA,40to44,5261062.1,55829.69894290566,20017.822577990573,0.07003634728080958,0.05978202828177852,0.06357549963667096,0.06337904619868896,629135963.87,882033002339.4072,752890805111.4874,800665525786.578,798191404527.3923
CA,45to49,5327049.22,57105.512926220865,20507.886060308898,0.07220223806567012,0.058957776732029815,0.05780311576290086,0.06547687662779215,629135963.87,931571229583.6764,760687896043.0896,745790173097.3632,844798943960.3378
CA,50to54,5567323.1,56260.14806585661,20799.28828939033,0.0687860371124076,0.059986854145728165,0.05212194607158103,0.0562234952429296,629135963.87,900105211173.3732,784962796013.8363,682045909969.4966,735717060947.1526
CA,55to59,4837015,49554.07349950759,19196.3983945127,0.05916944766885965,0.060405180308946434,0.0502090496057678,0.04993099649452427,629135963.87,714597975799.1888,729522097588.8156,606381952657.0582,603023865024.2094
CA,60to64,4304058.91,47704.27877485197,19553.338194193366,0.049181273527031596,0.05630260040575894,0.049980618770093306,0.04404983094111007,629135963.87,605013679359.2377,692618165128.6144,614846991347.7379,541888169654.35614
CA,65to69,3429098.13,48037.49314472282,20863.85748471274,0.034991129532659565,0.04894847055384096,0.05002103514990517,0.04248165598040387,629135963.87,459300672548.385,642507565370.5308,656586266084.2095,557622843942.6885
CA,70to74,2381302.09,37399.61141190287,17122.172542831424,0.026085229713590685,0.039108305982433075,0.04481615221696683,0.04064888976302641,629135963.87,280994647032.97406,421281497470.0348,482767413277.6179,437876934826.94666
CA,75to79,1659104.78,32034.821146659924,15369.560746095303,0.02058763906845222,0.02616319501721572,0.03663606505890579,0.038252807688068255,629135963.87,199073069769.37375,252986150074.54,354254021614.4938,369887184656.854
CA,80to84,1284278.72,27747.946135147722,13602.43313825253,0.016192615892926913,0.01688662337470358,0.025342767247766473,0.029672937653349295,629135963.87,138572842548.3031,144512005814.7887,216877823742.92172,253934468931.56323
CA,85+,1210124.36,28434.982228052202,14221.007918420526,0.01613165592400442,0.017905724551123353,0.020648501327439235,0.02859828681115687,629135963.87,144329079026.6202,160201577937.35422,184741057824.98422,255867371374.53214
CO,00to04,670578.1,0,NaN,0.06839264168666323,0.06438775886707315,0.06440948801274725,0.06422322507389433,629135963.87,NaN,NaN,NaN,NaN
CO,05to09,674049.12,0,NaN,0.06931585088352095,0.06424559385765828,0.06511783103791524,0.06502764175412028,629135963.87,NaN,NaN,NaN,NaN
CO,10to14,755873.96,0,NaN,0.06614456863482751,0.06612235141234261,0.06321124216335568,0.06414327593418416,629135963.87,NaN,NaN,NaN,NaN
CO,15to19,640686.64,3332.3707543488495,4159.398197294305,0.06750084904227237,0.06599442184118338,0.062111229014145244,0.06386118532738948,629135963.87,176638043889.97513,172695984525.70895,162534340713.10974,167113673631.8823
CO,20to24,750627.88,18241.898083833283,9242.47678908919,0.0693182369507969,0.067122848845855565,0.068135992545263993,0.06607434944293902,629135963.87,403069919604.44666,390304232739.2805,396195434931.25446,384207445102.58887
CO,25to29,882361.22,38875.21226417446,17245.887130712967,0.0740593526281338,0.07462741439376097,0.07408810609904669,0.07073293208793972,629135963.87,803544555364.8544,809708029965.7281,803856530749.1912,767452866481.9114
CO,30to34,794708.54,42871.92104768945,17013.39897633431,0.07035299479280585,0.07268661754601567,0.07147093063453454,0.07359459454180693,629135963.87,753040246351.988,778018740276.0225,765006342239.4537,787737491021.5487
CO,35to39,728319.48,54973.714359626174,20372.958694550456,0.07031044325971786,0.07099130057423438,0.0726399809024366,0.07315366569038358,629135963.87,901194333694.0073,909921127687.1827,931052858635.8888,937636942005.8744
CO,40to44,716857.18,54424.37509451367,19514.19802207199,0.06880602784222369,0.0634477639588078,0.06656413561188575,0.06639349763879783,629135963.87,844737368509.5255,778953513888.0162,817213469767.9757,815118533076.0245
CO,45to49,721902.65,58990.662594025634,21159.808498398357,0.07389550934185106,0.061015076087599214,0.06255680492975571,0.06493149788902342,629135963.87,983726321032.5045,812256886267.6273,832780991932.9409,864393846207.9595
CO,50to54,568522.35,54122.20660357977,20000.712213431936,0.07378177346836354,0.0585053729571296,0.054781975809416315,0.05830045458264482,629135963.87,928408403410.608,736182899173.074,689330769728.7426,733604376972.5133
CO,55to59,781233.09,58218.47052032312,22568.384013789753,0.06529154958367103,0.060938259981093125,0.05109298366045785,0.053138457121015226,629135963.87,927047422597.1754,865236883076.7865,725447919635.114,754490742354.0112
CO,60to64,616990.23,46299.60873842372,19006.197073863736,0.0535433496725918,0.059235540837862234,0.04769590849453405,0.04530366516672632,629135963.87,640243646117.6434,708307920174.7614,570322972809.1794,541717766000.8307
CO,65to69,544010.11,53151.61749814449,23127.75258638397,0.03628651577707451,0.052729212247260876,0.049263043048117315,0.042202035432368626,629135963.87,527986981037.5875,767236451081.6641,716801952975.965,614060755198.0853
CO,70to74,322529.9,42323.458529863245,19395.576217693466,0.025345601961029158,0.04114474188882783,0.045564650341363304,0.03748588394765578,629135963.87,309278555681.2017,502066842398.0806,556000574354.6208,457419794707.9796
CO,75to79,172687.38,31482.238004932846,15065.934503973725,0.019269083964912087,0.02570467793085345,0.03738996506174585,0.035691595175459424,629135963.87,182642421362.36703,243642335368.91394,354401577468.1754,338303542451.81824
CO,80to84,226086.07,37756.30495075813,18508.67127746161,0.014543875402748272,0.015738385429973457,0.02557459633890208,0.02893766164479326,629135963.87,169355731633.12033,183265168698.67664,297802638860.48145,336963754425.4249
CO,85+,230706.21,34014.60266186363,17011.50821606916,0.013841775106796395,0.015362661342468453,0.018331136294376507,0.026804381548857767,629135963.87,148142312570.76007,164419676013.75296,196189932414.4737,286875277125.91455
CT,00to04,364763.24,0,NaN,0.056547430022184625,0.056219081914860324,0.056028848450668196,0.05480349290794248,629135963.87,NaN,NaN,NaN,NaN
CT,05to09,408970.25,0,NaN,0.0622733518424374,0.05949907910430662,0.0596060285902261,0.05942011201302579,629135963.87,NaN,NaN,NaN,NaN
CT,10to14,465273.11,0,NaN,0.06722397293638085,0.058419329311987074,0.05900290836724161,0.06011472428993085,629135963.87,NaN,NaN,NaN,NaN
CT,15to19,502314.34,3817.480183122006,4557.890363819382,0.0701810835016509,0.06222923026694362,0.06040159491293987,0.06185970461295477,629135963.87,201246555178.84207,178444355626.95102,173203551399.30374,177384728713.18704
CT,20to24,431767.48,15475.348760964003,7732.986795251052,0.06376379824050663,0.062114289998569314,0.05483652071954225,0.056619527027501164,629135963.87,310217261261.57886,302192238547.0893,266785162492.46356,275459666661.44135
CT,25to29,506408.71,33133.83358001984,14629.899770294152,0.05991583328600203,0.06594751202954759,0.059404418828956335,0.05894571248001212,629135963.87,551477078658.1637,606993832585.5796,546769919710.56384,542547896525.637
CT,30to34,458702.88,43886.75544749479,17444.948426829513,0.057701847487631144,0.06463083854336509,0.06395921318221955,0.05772460524050848,629135963.87,633291880999.6028,709339251580.8617,701967999068.0531,633541652900.4088
CT,35to39,371249.46,53837.618773153205,19981.72320012512,0.062225787380700635,0.061355054302334615,0.06860458353581203,0.06317612155844037,629135963.87,782254105478.9863,771307927792.8615,862443359651.3982,794200966152.1301
CT,40to44,429695.28,65274.768726741095,23391.847523002256,0.07331558153010397,0.056634766516845514,0.06444350630824362,0.06519615392995658,629135963.87,1078959939006.116,833474180403.9347,948392690674.252,959469144206.6168
CT,45to49,544016.91,61894.27237214223,22232.49937289191,0.08149526999407122,0.058824218404894345,0.05892262480221846,0.06735415083094305,629135963.87,1139895931313.578,822789926670.8176,824166363020.2296,942100351282.4551
CT,50to54,591757.4,62092.34776224999,22952.527127124056,0.07955156225474574,0.06779344387938067,0.05320108659946039,0.06188651724243305,629135963.87,1148745264430.3704,978954974717.907,768237537535.4027,893657416641.0209
CT,55to59,589464.59,70490.85816157109,27337.733958205336,0.06719375551363044,0.07236361944391193,0.05306278240580063,0.05433697175688923,629135963.87,1155675587908.7542,1244592861416.7712,912634839117.7261,934549814939.0682
CT,60to64,435718.84,71770.45486839997,29320.398733268292,0.05688010146339061,0.06688292862134562,0.05790289000117498,0.0464528687229382,629135963.87,1049239776700.1451,1233757101099.398,1068106663175.1464,856893647373.4524
CT,65to69,321589.94,53750.58878760734,23429.31760986007,0.041767473014862215,0.0592711911913286,0.06389573944436026,0.047872111719095306,629135963.87,615662004940.6091,873670772255.8857,941837660120.8268,705645761026.3275
CT,70to74,248330.73,38134.7945196259,17464.718646855075,0.029563551297012925,0.04722140874856998,0.05558156064689006,0.049165067860319905,629135963.87,324834918168.7935,518853851235.6172,610712546778.8645,540210160637.3604
CT,75to79,191699.73,38289.358528190205,18387.88949880059,0.024971901993706382,0.03312943867628997,0.047060486349266094,0.051835298410664254,629135963.87,288887013287.63904,383257334323.2518,544418416696.0751,599655746867.191
CT,80to84,131380.09,29630.35562492886,14525.216723705951,0.02167400604963995,0.02139990973094098,0.034216151267737714,0.04114943741422671,629135963.87,198064354600.22247,195559570282.22095,312678694572.0463,376037394515.09717
CT,85+,156453.63999999998,34004.16020859809,17006.285697926334,0.023753692191342317,0.02606465931457813,0.029869055587241792,0.042087421982217744,629135963.87,254147069916.90927,278872721757.2054,319576969236.3693,450304520702.5016
DC,00to04,77224.89,0,NaN,0.05419935751167896,0.05651002227925929,0.054464970057804825,0.053022115943074086,629135963.87,NaN,NaN,NaN,NaN
DC,05to09,68285.1,0,NaN,0.04345354922447704,0.05447584281436982,0.05298032462598584,0.05125955089895519,629135963.87,NaN,NaN,NaN,NaN
DC,10to14,58379.49,0,NaN,0.041615494172567775,0.044080980236350376,0.04655717876433261,0.04386057824749372,629135963.87,NaN,NaN,NaN,NaN
DC,15to19,55540.3,4458.661321240972,5825.702573059738,0.06634115697754615,0.05192513855942234,0.06594174555065001,0.06268548683278613,629135963.87,243150888800.3115,190313889100.18777,241686982412.91357,229752276455.3382
DC,20to24,105917.61,21229.72565625178,10531.724405344125,0.1065440410288455,0.08397169598501177,0.09010174123395272,0.09301746569445388,629135963.87,705948732161.4545,556386933944.2166,597003918524.4297,616323178112.7313
DC,25to29,173479.06,48554.28883380639,21413.317064134106,0.11574927333673468,0.10698716652435261,0.08482627192007135,0.10529531845061248,629135963.87,1559361231518.83,1441319111030.4644,1142770023805.016,1418526723486.6116
DC,30to34,155004.43,63541.45103096041,25291.93902884317,0.09156372616635894,0.10367574109300276,0.0827722918265932,0.08681227676256628,629135963.87,1456968277293.7673,1649695487741.3496,1317078372401.9783,1381362889195.9233
DC,35to39,117430.16,78943.85468548999,29295.933323718426,0.07133681112405542,0.09215164801967883,0.0862820769506822,0.06686751631011484,629135963.87,1314817700698.0598,1698458566560.6504,1590275767029.5452,1232443568207.2178
DC,40to44,79919.4,72832.43289293151,26123.39630291898,0.06270991801875614,0.0704828871847684,0.08084281883611111,0.063087771514738,629135963.87,1030648044965.303,1158398099942.7314,1328665318267.5417,1036858130693.6967
DC,45to49,78976.05,76694.91655680374,27519.74334008049,0.06404774289831035,0.05919599363363113,0.07746148193591434,0.07089232054915995,629135963.87,1108900860430.637,1024899322035.4653,1341141780832.9,1227405552443.9392
DC,50to54,75013.85,74834.21085659513,27688.10937682909,0.061762638290376135,0.055453617039724803,0.06313663091151646,0.0707839953995285,629135963.87,1075879551025.9586,965979016682.6636,1099813932802.13,1233027851437.0835
DC,55to59,67342.96,69286.89558886377,26871.19819753731,0.056959763878063494,0.05598033682809971,0.0524116780310584,0.0670374456547039,629135963.87,962941101886.9957,946383263537.647,886052812701.5416,1133310733601.7424
DC,60to64,58109.96,65511.54613374403,26832.897338511273,0.04936324521416,0.05132857404389925,0.04668391941314054,0.05195349183593147,629135963.87,833327634671.9606,866505413360.008,788096487031.8003,877054988519.4072
DC,65to69,56780.46,53920.33702689411,23467.39974471554,0.035710783865665764,0.037835170629648716,0.037222016955607604,0.03560683784887444,629135963.87,527240625126.9445,558605464657.411,549552750283.6127,525705946888.60974
DC,70to74,38522.28,68627.34288280937,31342.33964026767,0.025727785043948792,0.029022251922598254,0.030208105026943315,0.02807194736711028,629135963.87,507315723604.4494,572277975332.6075,595661330125.5571,553539306520.3314
