stabbr,agebrk,wtdn,rtax,popgroup,totpop,share2010,share2020,share2030,share2040,tax2010,tax2020,tax2030,tax2040
AL,"(29,34]",587112.23,992.2171339416315,30to34,9601911.41,0.06232310738501039,0.06387382034254185,0.06004639447615209,0.061589657824193615,593763525.7604432,608537448.8162718,572072869.7481091,586775819.0258018
AL,"(34,39]",560541.36,1120.316981626726,35to39,9601911.41,0.06452866852897315,0.0631759016106936,0.06303095035887715,0.060383321475788475,694146787.0139384,679594823.8120185,678035556.4659574,649554524.3247762
AL,"(39,44]",616998.31,1179.650006179952,40to44,9601911.41,0.06508120950613172,0.06025315575365088,0.0632401168649631,0.0607552103578151,737168017.0565914,682481159.8520766,716314154.2933328,688167879.5644846
AL,"(44,49]",652730.35,1385.8139221994657,45to49,9601911.41,0.07246613620501216,0.061429803688116014,0.06159095587212627,0.06279805218789535,964267924.7800231,817413379.8772458,819557745.3724575,835619927.2462546
AL,"(49,54]",671291.88,1104.2764950617754,50to54,9601911.41,0.0726996219038039,0.06148779447690413,0.05829780056462221,0.06253049382877666,770846092.1344773,651965235.1040554,618141203.0551813,663021148.4584004
AL,"(54,59]",682379.07,981.2791911907264,55to59,9601911.41,0.06525590534707357,0.06709744432351046,0.058249080261730105,0.0596834214242166,614851311.1149579,632202578.3774279,548831913.0610497,562346499.0536954
AL,"(59,64]",619185.28,1082.847381396066,60to64,9601911.41,0.05777034547514758,0.06574196359927613,0.05694275916721878,0.055173252195643785,600661657.3302529,683545796.4964762,592056907.6231875,573658627.6499283
AL,"(64,69]",505040.29,628.4015472909894,65to69,9601911.41,0.04385953533835341,0.059797264904805865,0.06154664134701458,0.054591923780604984,264642119.88814276,360808084.8517892,371363570.3711183,329399806.1451784
AL,"(69,74]",375395.51,320.43034712154656,70to74,9601911.41,0.03365541527816599,0.048597490822362074,0.055359024934281485,0.04899200514202819,103549090.50005361,149522028.88148466,170325537.0803143,150735848.3709496
AL,"(74,79]",253413.94,315.2430888292885,75to79,9601911.41,0.025699327326864915,0.032395759134180316,0.044212221159070926,0.04649500714950785,77790224.4982561,98059896.42401834,133827573.21960758,140737420.79728833
AL,"(79,84]",186008.97,463.579803068637,80to84,9601911.41,0.018572364666165662,0.019877841384184216,0.028731942741449464,0.03344109771968162,82670279.08932106,88481285.20314223,127893123.35338746,148854759.81288156
AL,"(84,1e+09]",109555.91,230.41954539823547,85+,9601911.41,0.01583434733633824,0.015890251532955306,0.018038634734908254,0.024600831030220788,35032987.76499674,35156674.01454635,39909903.23390408,54428552.95416181
AR,"(-1,4]",347288.16,0,00to04,5849013.01,0.06779648810426082,0.06353823213793766,0.06267334986776082,0.06230063092987454,0,0,0,0
AR,"(4,9]",402564.02999999997,0,05to09,5849013.01,0.06751801662461016,0.06340147997376454,0.06339039684216174,0.06248689978601477,0,0,0,0
AR,"(9,14]",419991.68,0,10to14,5849013.01,0.06775190523190296,0.0690367503481337,0.06602995529401981,0.06605925725621574,0,0,0,0
AR,"(14,19]",387329.22,48.422699810874064,15to19,5849013.01,0.06989394077611236,0.06766981242305038,0.06484961852917888,0.06576221044428711,19795711.458308887,19165782.702903725,18367033.284003522,18625502.130230635
AR,"(19,24]",359386.17,247.50730734557757,20to24,5849013.01,0.06846900358652061,0.06308051429629169,0.06559742430417385,0.06363445835951358,99120759.37513103,91319986.43621534,94963650.25768304,92121916.55527301
AR,"(24,29]",415403.32,766.3423625252442,25to29,5849013.01,0.06589794363215976,0.06142996879314903,0.06069717428657878,0.058996443035776676,295377413.6046651,275350402.45292944,272065763.5989062,264442496.9169791
AR,"(29,34]",391305.08,979.6324213344483,30to34,5849013.01,0.06301240295508996,0.06461861804845687,0.0607563418716011,0.06408082298150859,361053682.4551472,370257106.65543497,348126716.90809524,367175603.96355575
