stabbr,stname,2010,2020,2030,2040,chg2040
US,United States,21.741798193853445,27.864794698463193,34.090169631911884,33.693620603974324,5.828825905511131
CA,California,18.827039201255573,24.086181978780363,29.645547144107702,29.7446937553919,5.658511776611537
NH,New Hampshire,21.94337764647957,32.2246738053236,45.485559297589276,45.77741422891231,13.552740423588716
NY,New York,22.06879104901368,26.031932783723335,31.184115586243895,30.635661666758264,4.603728883034929
OH,Ohio,23.688170175876465,29.902381725897065,36.890527080462874,36.345076245579186,6.442694519682121
TN,Tennessee,22.36229740061763,29.04253343380922,34.495035114302844,34.38880458216891,5.3462711483596905
TX,Texas,17.436622438565546,22.019278466802874,26.346862049441317,26.474456460155587,4.455177993352713
